"Últimos Ajustes",Diesel A (R$/litro),Gasolina A (R$/litro)
09/05/2018,"2,1728","1,8523"
08/05/2018,"2,1289","1,8404"
05/05/2018,"2,1015","1,8177"
04/05/2018,"2,1051","1,8095"
03/05/2018,"2,0535","1,7893"
01/05/2018,"2,0877","1,8072"
28/04/2018,"2,1112","1,7977"
27/04/2018,"2,0953","1,7977"
26/04/2018,"2,0667","1,7977"
25/04/2018,"2,0576","1,7727"
21/04/2018,"2,0045","1,7391"
20/04/2018,"1,9822","1,7199"
19/04/2018,"1,9752","1,7199"
18/04/2018,"1,9917","1,7314"
17/04/2018,"1,9988","1,7229"
14/04/2018,"1,9837","1,7072"
13/04/2018,"1,9874","1,7115"
12/04/2018,"1,9549","1,6968"
11/04/2018,"1,9169","1,6833"
10/04/2018,"1,8729","1,6444"
07/04/2018,"1,8646","1,6452"
06/04/2018,"1,8867","1,6473"
05/04/2018,"1,8696","1,6448"
04/04/2018,"1,8578","1,6581"
03/04/2018,"1,8835","1,6783"
30/03/2018,"1,8884","1,6783"
29/03/2018,"1,8884","1,6783"
28/03/2018,"1,8688","1,6643"
27/03/2018,"1,8702","1,6557"
24/03/2018,"1,8475","1,6431"
